scorer,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tailend,tailend,tailend
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
87,312.8440246582031,51.81413650512695,0.4466135501861572,299.106689453125,53.34273910522461,0.9735490083694458,306.79315185546875,66.83485412597656,0.8542109131813049,312.9110107421875,144.47976684570312,1.0,424.76861572265625,165.9188232421875,0.9999998807907104
88,320.414794921875,55.04401779174805,0.33731845021247864,309.5591735839844,52.817867279052734,0.762825608253479,314.9290466308594,66.87498474121094,0.8624138832092285,314.14910888671875,144.16429138183594,1.0,424.49151611328125,173.11265563964844,0.9999998807907104
89,328.0153503417969,55.99595642089844,0.5335186719894409,314.3250427246094,53.29525375366211,0.9942305088043213,319.3951416015625,68.44770050048828,0.9600046873092651,314.6260681152344,144.2738037109375,1.0,424.7278747558594,180.81103515625,1.0
90,331.7690124511719,54.35364532470703,0.7058832049369812,318.41009521484375,53.44116973876953,0.9946315884590149,323.3337707519531,69.372802734375,0.9961360692977905,314.7491149902344,144.57406616210938,1.0,425.1192626953125,186.829345703125,0.9999995231628418
91,345.9450378417969,60.78805160522461,0.9999794960021973,327.4266357421875,55.6107292175293,0.9999803304672241,334.3265075683594,72.39623260498047,0.9999852180480957,315.51458740234375,144.2243194580078,1.0,425.5772399902344,193.96292114257812,1.0
92,349.3128662109375,59.99253463745117,0.9997856616973877,333.30316162109375,54.66079330444336,0.9999403953552246,338.7694396972656,72.90380859375,0.9999846816062927,316.9520263671875,144.26852416992188,1.0,423.7964172363281,202.01451110839844,1.0
93,356.47052001953125,62.98419189453125,0.9999960660934448,339.18017578125,55.35179138183594,0.9999852180480957,345.7934265136719,72.52933502197266,0.9999302625656128,318.93914794921875,142.84288024902344,1.0,422.9673156738281,208.1486358642578,1.0
94,364.3245849609375,63.49944305419922,0.9999998807907104,344.80010986328125,56.304779052734375,0.9999887943267822,352.2255554199219,74.11365509033203,0.9999878406524658,320.7648620605469,142.6872100830078,1.0,419.562744140625,212.11534118652344,1.0
95,369.8800048828125,63.696624755859375,0.9999998211860657,351.5146179199219,55.044803619384766,0.9999986886978149,357.4137878417969,74.1246109008789,0.9999980330467224,322.2532958984375,141.7931365966797,1.0,415.44549560546875,214.2657928466797,1.0
96,377.44097900390625,63.37868881225586,0.9999994039535522,357.696044921875,55.20094299316406,0.9999969005584717,365.3789978027344,73.7420425415039,0.9999616742134094,323.29608154296875,139.718505859375,1.0,414.22930908203125,214.82235717773438,1.0
97,382.6069641113281,62.38428497314453,0.9999983310699463,365.03582763671875,55.04466247558594,0.9999973773956299,369.8284606933594,74.41818237304688,0.9999949336051941,324.5046691894531,137.72232055664062,1.0,414.0614929199219,215.09706115722656,1.0
98,389.3297424316406,64.41357421875,0.9999998807907104,370.27587890625,55.772518157958984,0.9999986290931702,375.4895324707031,75.85254669189453,0.9999969601631165,325.75628662109375,135.03875732421875,1.0,411.6240539550781,215.8018341064453,0.9999998807907104
99,397.15155029296875,65.49806213378906,1.0,377.7351379394531,56.84809112548828,0.9999969005584717,383.1341552734375,75.86196899414062,0.9999992251396179,326.0845031738281,131.83985900878906,1.0,409.4864196777344,215.2161865234375,1.0
